,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
28_KFB_lisse_PFA_2.xyz,1.9496326568265778,2.4624057502795136,-0.23681166355445077,3.2053625356346664,125.33587544613303,0.10467509059745427,0.13508653425477274,0.06054236075843616,6.230477447313101,0.0822014012823055,0.8838230798466521,6.697570558364456,9.086972751826794,4.3717590793987435
28_KFB_lisse_PFA_5.xyz,1.695223650716215,2.176314903813671,-0.3994258444150817,3.524802874932007,109.96076449227756,0.10024023024220442,0.12931616285406988,0.05808216200108248,5.201828421591296,0.09318182738280793,0.875230254768045,6.116119733013184,12.710817857912984,3.682367757629841
28_KFB_lisse_PFA_3.xyz,1.6174035359406185,2.0525043888630337,-0.2829146642152662,3.2608188244437546,112.72943787687527,0.09090450993242621,0.11647081489630286,0.0544225561351738,5.068649852122328,0.08488201870828475,0.8765228394908569,5.2539728715723335,6.401334812380077,3.5912386381756947
28_KFB_lisse_PFA_4.xyz,1.6174035359406185,2.0525043888630337,-0.2829146642152662,3.2608188244437546,112.72943787687527,0.09090450993242621,0.11647081489630286,0.0544225561351738,5.068649852122328,0.08488201870828475,0.8765228394908569,5.2539728715723335,6.401334812380077,3.5912386381756947
28_KFB_lisse_PFA_1.xyz,1.7037081561446406,2.1577769169627494,-0.4353605100179461,3.2574938483400686,116.58211428225941,0.09732046390643728,0.12487371257687083,0.05787142038344466,5.31700728321564,0.07462526020751037,0.8719481961677785,4.2548726799218395,7.28626073063161,3.5465108056025105
28_KFR_lisse_4.xyz,1.1544590197485574,1.4406831063153687,-0.3576801680972316,3.0519014003363267,145.05198193625398,0.05202095151309369,0.06576204092278021,0.03298049069261811,3.7491992078654373,0.07555617609513572,0.8868300272104273,1.2007922135633107,4.611933100289601,2.380318722678271
28_KFR_lisse_3.xyz,1.549746995099242,1.9178408065812849,-0.020903849291526194,2.725030779527426,169.0446491943446,0.06017518438223143,0.07610057253280435,0.038089480057497266,5.216566624444797,0.09074455113549763,0.9121121864891869,4.4274655105404435,4.641301975914933,3.319800870219704
28_KFR_lisse_2.xyz,1.6015446907532696,1.9740295464103486,-0.05933141403117502,2.646350879759034,170.6461826018151,0.06037179759420497,0.07841399919563553,0.03377502952860551,5.409690202497589,0.08874051836454173,0.9082479160429904,3.787584674402047,3.9610245956646226,3.802903887075288
28_KFR_lisse_5.xyz,1.539601030268525,1.8995727560861135,-0.32544346843500044,2.830161895294059,165.1110794702938,0.0583866405381282,0.0753612822784481,0.03374428425682272,5.0574008279133436,0.07254224678499308,0.88685301307259,3.262497989185685,4.969376267640372,3.249297998719363
28_KFR_lisse_1.xyz,1.2366023668858321,1.5459401923837692,-0.30763778776164785,3.019834633805102,146.1329622634115,0.05267909530962991,0.06741108349270676,0.031716241700766826,4.032022385993075,0.07698692740992666,0.887104899564247,1.3496326681015964,4.64472361073438,2.6631361158731734
28_KFR_lisse_842SM_4.xyz,2.7397549376498547,3.493117471599319,-0.23504515085317093,3.253663887059029,131.1490745350015,0.14601589351759045,0.19075377489759632,0.07908400395653833,8.603278804448516,0.10291399999999999,0.891189,9.372394270605824,11.87970044094109,6.080675585605165
28_KFR_lisse_842SM_1.xyz,2.8197301027789745,3.4899959669577254,-0.2955816092096391,2.8029478442050277,153.00644173674837,0.1409561415732874,0.1798550410322865,0.085961804946917,9.515902605837809,0.077829,0.901462,11.532313997093041,12.386717765456515,6.30824283532446
28_KFR_lisse_842SM_2.xyz,2.671025083897,3.3336548665064916,-0.30421041380841984,2.874024402598969,140.6362619828382,0.13374857273585472,0.17201505173991688,0.07866500742178927,8.880141975236796,0.082585361526427,0.8957647860518378,9.628962167494539,13.318763445394769,5.779958534021148
28_KFR_lisse_842SM_3.xyz,3.013051937301798,3.7601386335350893,-0.1263285460954758,2.9068610837830957,145.9382428535874,0.14274406575982004,0.18648850499980213,0.07729019421780772,10.072390006005696,0.08652923577683405,0.9070469092219312,8.533223334642324,12.783575970811608,6.749919153794994
28_KFR_lisse_842SM_5.xyz,2.8943713036980556,3.6006564398762806,-0.20563962560518917,2.7727297249304623,132.29988803637798,0.14744952034377576,0.19273552359392657,0.07959736204293492,9.665883077130527,0.09003377496475919,0.9031650475299297,8.332473543546897,8.443393532176552,6.4919718857181365
28_KFR_lisse_midmoly_4.xyz,2.0235589056316265,2.525320848957002,-0.18536452805973702,2.997043416792068,175.52974719754906,0.07402018371468269,0.0968553963745033,0.03971155231728681,6.7085895140372855,0.08318624017748343,0.9041806169005988,4.3812525254482555,7.2437833373573906,4.4385611027435345
